iter	Logloss
0	0.5841856344
1	0.5059958174
2	0.445382734
3	0.4037887398
4	0.3686727614
5	0.3453942201
6	0.3261500831
7	0.3105750054
8	0.2985278129
9	0.2895517054
10	0.2824704176
11	0.2764738901
12	0.2724844949
13	0.2684204913
14	0.2656228365
15	0.2632762257
16	0.2614874094
17	0.2597348639
18	0.2583090139
19	0.2574006258
20	0.2564593359
21	0.2557616277
22	0.2550595957
23	0.2545256458
24	0.2539530449
25	0.2533526545
26	0.2528647584
27	0.2524443292
28	0.2520890467
29	0.2517723251
30	0.2515183838
31	0.2511477568
32	0.2508546547
33	0.250592633
34	0.2503479977
35	0.2500888588
36	0.2499109764
37	0.2496827525
38	0.2495528854
39	0.2493985145
40	0.2491831027
41	0.2490027931
42	0.2488507547
43	0.2487416498
44	0.2485896663
45	0.2484741734
46	0.2483808709
47	0.2482415923
48	0.2481315789
49	0.2480328868
50	0.2479294421
51	0.2478505681
52	0.2477193036
53	0.2475972947
54	0.2475263953
55	0.2474566011
56	0.2473574771
57	0.247260869
58	0.2471815849
59	0.2470766841
60	0.2469447688
61	0.2468491337
62	0.2467728117
63	0.246700438
64	0.2466265704
65	0.2465682814
66	0.2464574793
67	0.2464079903
68	0.2462779164
69	0.2462046309
70	0.2461098746
71	0.2460543565
72	0.2460155587
73	0.2459233877
74	0.24586262
75	0.2457763254
76	0.24568528
77	0.2456323935
78	0.2455680567
79	0.2454843753
80	0.2454348278
81	0.245376649
82	0.2453138783
83	0.2452116835
84	0.2451288094
85	0.2450758806
86	0.2450188367
87	0.2449739315
88	0.2449290926
89	0.2448573763
90	0.2448144438
91	0.2447697162
92	0.2447389455
93	0.2446616749
94	0.2446058712
95	0.2445623032
96	0.2445047218
97	0.2444509858
98	0.2444126948
99	0.2443610345
100	0.2442813596
101	0.2442248842
102	0.2441854946
103	0.2441515041
104	0.2441104035
105	0.2440626641
106	0.2440216621
107	0.2439842051
108	0.2439223394
109	0.243824564
110	0.2437812759
111	0.2437157248
112	0.2436711972
113	0.2436274192
114	0.2435836715
115	0.2435179105
116	0.24345583
117	0.2433832002
118	0.2433211412
119	0.2432870439
120	0.2432558824
121	0.2431864692
122	0.2430972973
123	0.2430467442
124	0.2429845041
125	0.2429021905
126	0.2428623844
127	0.2428201838
128	0.2427709627
129	0.2426883684
130	0.2426433376
131	0.2425564116
132	0.2424862955
133	0.2424373281
134	0.2423337705
135	0.2422809532
136	0.2422369299
137	0.2421854292
138	0.242145159
139	0.242068091
140	0.2420271041
141	0.2420050132
142	0.2419556483
143	0.2419225346
144	0.2418615633
145	0.2418067013
146	0.2417511081
147	0.2416723504
148	0.2416327793
149	0.2415949991
150	0.2415477034
151	0.2414544076
152	0.2413861566
153	0.2413605314
154	0.24132751
155	0.2412895137
156	0.2412562637
157	0.2411779299
158	0.241132834
159	0.2410693117
160	0.2410113083
161	0.2409491514
162	0.240897025
163	0.2408487438
164	0.2408116537
165	0.2407482649
166	0.2406943862
167	0.240652752
168	0.2406032944
169	0.2405462636
170	0.240512473
171	0.2404914767
172	0.240453062
173	0.2404162357
174	0.2403810077
175	0.2403469192
176	0.2403155827
177	0.2402856917
178	0.2402309388
179	0.2402013519
180	0.2401392228
181	0.2400953715
182	0.2400478381
183	0.2400065894
184	0.2399614462
185	0.2398975494
186	0.2398559481
187	0.2398220743
188	0.2397743744
189	0.2397305099
190	0.2396699586
191	0.2396620192
192	0.2396225552
193	0.2395716727
194	0.2395203411
195	0.2394874638
196	0.2394557672
197	0.2394152071
198	0.2393815252
199	0.2393405079
200	0.2393089695
201	0.2392585618
202	0.2392263289
203	0.239197918
204	0.2391525354
205	0.2391066476
206	0.2390587027
207	0.2390240825
208	0.2389816947
209	0.2389362698
210	0.2389057845
211	0.2388617132
212	0.2388216075
213	0.238815382
214	0.2387819059
215	0.2387451978
216	0.238669301
217	0.2386210793
218	0.2385602518
219	0.2385177306
220	0.2384602344
221	0.2384300117
222	0.2383867243
223	0.2383527013
224	0.2383091888
225	0.2382657514
226	0.2382228158
227	0.2381822681
228	0.2381535856
229	0.2381226963
230	0.2380681863
231	0.238049513
232	0.2380009833
233	0.2379598442
234	0.2379255864
235	0.2378852507
236	0.2378585121
237	0.2378170836
238	0.2377404718
239	0.2376983046
240	0.2376490467
241	0.2376140636
242	0.2375879461
243	0.237550489
244	0.237508682
245	0.2374720513
246	0.2374145162
247	0.2373686494
248	0.2373396212
249	0.2372874693
250	0.237241592
251	0.2372113215
252	0.2371744179
253	0.2371512377
254	0.2371120952
255	0.2370759706
256	0.2370579399
257	0.2370339082
258	0.2369829927
259	0.2369461051
260	0.2368856811
261	0.236831246
262	0.2367918356
263	0.2367604515
264	0.2367283661
265	0.236681645
266	0.2366323754
267	0.2365648403
268	0.2365170345
269	0.2364595536
270	0.2364255443
271	0.2364029725
272	0.2363601452
273	0.236325056
274	0.2362869431
275	0.2362478065
276	0.236215406
277	0.236160664
278	0.2361375801
279	0.2361013873
280	0.2360649537
281	0.2360124004
282	0.235978397
283	0.2359410601
284	0.2359182594
285	0.2358683957
286	0.2358377702
287	0.235797601
288	0.2357828934
289	0.2357537618
290	0.2357264263
291	0.2356918258
292	0.2356576581
293	0.2356294882
294	0.2355869495
295	0.2355604831
296	0.2355092232
297	0.2354652501
298	0.2354082697
299	0.2353810426
300	0.2353443729
301	0.2353168296
302	0.2352793065
303	0.2352493721
304	0.2352164901
305	0.2351788665
306	0.2351556234
307	0.2351081017
308	0.2350672134
309	0.2350222288
310	0.2349944939
311	0.2349691384
312	0.2349416562
313	0.2349044978
314	0.234859693
315	0.2348137299
316	0.2347795857
317	0.2347487808
318	0.2347188102
319	0.2346876705
320	0.2346504371
321	0.2346104534
322	0.2345813513
323	0.2345477866
324	0.2345131349
325	0.2344814602
326	0.234473229
327	0.2344312789
328	0.2343854814
329	0.2343392521
330	0.2342981762
331	0.2342597019
332	0.2342552336
333	0.2342254239
334	0.2342011945
335	0.2341845381
336	0.2341505102
337	0.2340995909
338	0.2340823273
339	0.2340490833
340	0.234011772
341	0.2339837085
342	0.2339427073
343	0.2338957357
344	0.2338672711
345	0.2338249419
346	0.2337909657
347	0.2337677811
348	0.2337314353
349	0.2337134901
350	0.2336817327
351	0.2336380234
352	0.2336168196
353	0.2335790297
354	0.2335571763
355	0.2335297129
356	0.2334829779
357	0.2334680485
358	0.233450246
359	0.2334044594
