iter	Passed	Remaining
0	87	87719
1	114	56958
2	140	46541
3	168	41937
4	197	39317
5	224	37243
6	250	35541
7	277	34373
8	303	33404
9	332	32896
10	360	32400
11	387	31906
12	416	31596
13	446	31446
14	476	31265
15	508	31255
16	538	31152
17	568	31019
18	599	30954
19	631	30929
20	658	30689
21	687	30566
22	717	30490
23	748	30422
24	778	30379
25	810	30363
26	839	30241
27	870	30234
28	898	30098
29	932	30163
30	965	30187
31	996	30131
32	1026	30065
33	1057	30057
34	1087	29983
35	1116	29892
36	1147	29857
37	1181	29907
38	1211	29861
39	1239	29737
40	1270	29710
41	1302	29699
42	1336	29754
43	1368	29733
44	1396	29636
45	1430	29663
46	1462	29647
47	1489	29532
48	1517	29450
49	1548	29412
50	1575	29308
51	1603	29228
52	1634	29209
53	1665	29173
54	1695	29140
55	1725	29082
56	1754	29022
57	1783	28961
58	1813	28923
59	1842	28858
60	1873	28834
61	1906	28837
62	1942	28897
63	1982	28997
64	2017	29019
65	2057	29118
66	2090	29116
67	2120	29069
68	2150	29013
69	2189	29087
70	2224	29111
71	2253	29051
72	2287	29044
73	2316	28989
74	2345	28924
75	2376	28897
76	2407	28858
77	2439	28835
78	2469	28788
79	2496	28706
80	2526	28669
81	2553	28584
82	2582	28532
83	2613	28500
84	2646	28490
85	2681	28493
86	2714	28490
87	2744	28444
88	2777	28429
89	2817	28485
90	2850	28475
91	2883	28461
92	2913	28409
93	2952	28458
94	2981	28400
95	3009	28344
96	3037	28281
97	3073	28292
98	3103	28248
99	3136	28231
100	3174	28252
101	3205	28223
102	3234	28169
103	3265	28134
104	3293	28071
105	3321	28009
106	3348	27941
107	3386	27972
108	3415	27919
109	3443	27861
110	3469	27787
111	3501	27758
112	3529	27704
113	3561	27678
114	3593	27651
115	3627	27643
116	3656	27597
117	3686	27552
118	3715	27507
119	3743	27453
120	3771	27398
121	3797	27332
122	3825	27276
123	3857	27251
124	3884	27191
125	3919	27187
126	3948	27139
127	3978	27103
128	4006	27054
129	4036	27011
130	4067	26980
131	4094	26925
132	4123	26880
133	4153	26842
134	4186	26824
135	4225	26847
136	4258	26828
137	4288	26788
138	4314	26725
139	4343	26681
140	4373	26645
141	4406	26625
142	4435	26584
143	4459	26511
144	4494	26502
145	4527	26481
146	4558	26451
147	4592	26436
148	4636	26479
149	4668	26457
150	4700	26426
151	4732	26403
152	4762	26367
153	4794	26340
154	4827	26315
155	4865	26322
156	4901	26318
157	4935	26302
158	4965	26266
159	5000	26250
160	5030	26213
161	5061	26184
162	5091	26143
163	5127	26138
164	5157	26099
165	5217	26211
166	5247	26176
167	5281	26154
168	5315	26134
169	5351	26126
170	5386	26111
171	5424	26112
172	5458	26093
173	5500	26112
174	5533	26084
175	5564	26052
176	5593	26010
177	5629	25996
178	5657	25948
179	5687	25910
180	5716	25867
181	5751	25851
182	5779	25804
183	5805	25745
184	5832	25694
185	5861	25652
186	5890	25607
187	5919	25568
188	5954	25548
189	5985	25518
190	6016	25484
191	6046	25446
192	6077	25414
193	6109	25381
194	6139	25346
195	6166	25296
196	6207	25301
197	6235	25257
198	6263	25213
199	6292	25171
200	6320	25124
